"model_id","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-FluCAT_Ensemble",0.438088373985216,24.8993674686293,0.799780690826895,38.4050519347942,0.75,1,20
"CEPH-Rtrend_fluH",0.659883972368168,9.71650627090301,1.33811325208287,16.0817307692308,0.4875,0.935576923076923,1040
"CFA_Pyrenew-Pyrenew_HE_Flu",0.562468924763559,7.03224419698314,1.04577491946868,10.7683673469388,0.463265306122449,0.883673469387755,490
"CFA_Pyrenew-Pyrenew_H_Flu",0.749083873141968,9.52966447204969,1.40107838896072,14.719387755102,0.528571428571429,0.948979591836735,490
"CMU-TimeSeries",0.598370890626438,8.79363685433974,1.22225578391687,14.5845826264651,0.466346153846154,0.958653846153846,1040
"CMU-climate_baseline",1.0020201851466,14.5873986886845,1.87993918225306,22.2574519230769,0.675,0.994230769230769,1040
"CU-ensemble",0.5977958516641,8.55721153846154,0.941145361885492,11.1790865384615,0.794471153846154,0.991586538461538,832
"FluSight-baseline",1,14.6300154682274,1,11.9778846153846,0.896153846153846,1,1040
"FluSight-ensemble",0.495133497585948,7.28548787625418,0.927346286887679,11.1480769230769,0.741346153846154,0.991346153846154,1040
"FluSight-lop_norm",0.532032675051397,7.80611120401338,0.909255138011578,10.9442307692308,0.816346153846154,0.999038461538462,1040
"FluSight-trained_mean",0.537268269999636,7.88075630029338,1.00774381498611,12.0558449114616,0.589423076923077,0.95,1040
"FluSight-trained_med",0.543311679712208,7.95238200753387,0.992460972854476,11.8662771000966,0.679807692307692,0.983653846153846,1040
"Gatech-ensemble_point",0.903370149644949,13.0039987458194,1.7650642170336,20.75,0.531730769230769,0.977884615384615,1040
"Gatech-ensemble_prob",0.683399166103114,10.0913022575251,1.33806195169587,16.1278846153846,0.572115384615385,0.971153846153846,1040
"Google_SAI-FluBoostQR",0.537328043912192,7.77581234322743,1.07643817562676,12.7041552197802,0.503605769230769,0.967548076923077,832
"ISU_NiemiLab-GPE",0.698378366247725,10.3932104855169,1.11022342949644,13.3635661058186,0.746794871794872,0.975961538461538,624
"JHUAPL-DMD",1.25522163298818,19.2119911761829,1.6347761892683,20.6075566875216,0.963942307692308,1,416
"JHU_CSSE-CSSE_Ensemble",0.689077698484385,8.96553716084115,1.11259622016435,11.577818627451,0.840686274509804,0.995098039215686,408
"LUcompUncertLab-chimera",0.864297487964086,11.1698641304348,1.58267993331788,16.84,0.335,0.7875,400
"LosAlamos_NAU-CModel_Flu",0.789016020171773,12.4709627142559,1.457528599844,18.5841346153846,0.451923076923077,0.887019230769231,416
"MIGHTE-Joint",0.71001358585413,9.57148550724638,0.891786850101869,9.9775641025641,0.738782051282051,0.956730769230769,624
"MIGHTE-Nsemble",0.714372694827756,10.1388147993311,1.02287899472389,11.9855769230769,0.669471153846154,0.936298076923077,832
"MOBS-GLEAM_FLUH",0.73533635611761,9.18256276923077,1.33913723223979,13.5067564102564,0.261538461538462,0.708974358974359,780
"NEU_ISI-AdaptiveEnsemble",0.576435618021969,7.95319846057832,1.16599047465492,13.133971291866,0.401913875598086,0.784688995215311,836
"NEU_ISI-FluBcast",0.527598874182422,6.63177012217032,1.04229088924399,10.6053719008264,0.454545454545455,0.794421487603306,968
"NIH-Flu_ARIMA",0.595468502166882,8.73486036789298,1.04840885463942,12.5615384615385,0.308653846153846,0.723076923076923,1040
"OHT_JHU-nbxd",0.534840142341353,7.71017195512821,1.03128542016621,12.1235416666667,0.565705128205128,0.943910256410256,624
"PSI-PROF",0.573864111830426,8.45231847408027,1.03831438813415,12.4127692307692,0.671153846153846,0.944230769230769,1040
"PSI-PROF_beta",0.593151988102817,8.72649382525084,1.00875825825058,12.099375,0.6375,0.946153846153846,1040
"SigSci-TSENS",0.891887977640851,11.9935268646165,1.15290920340679,12.619918699187,0.95630081300813,1,984
"Stevens-ILIForecast",1.92083581941705,26.0108653846154,2.38685958391653,27.0504807692308,0.0408653846153846,0.0889423076923077,416
"UGA_CEID-Walk",0.665687280897639,9.75443476588629,1.04904925811995,12.5315778846154,0.791346153846154,0.982692307692308,1040
"UGA_flucast-Copycat",0.496961988320313,7.30471697324415,0.94642172008029,11.3211538461538,0.478846153846154,0.891346153846154,1040
"UGA_flucast-INFLAenza",0.473660295975697,6.9468520923913,0.960361747379156,11.5278846153846,0.550961538461539,0.973076923076923,1040
"UGA_flucast-Scenariocast",0.635292031714463,9.29748118729097,1.24739464874657,14.8625,0.541346153846154,0.932692307692308,1040
"UGuelph-CompositeCurve",0.60864682689129,9.19804191053512,0.946560824382095,11.5576923076923,0.163461538461538,0.378605769230769,832
"UI_CompEpi-EpiGen",1.01379091281428,13.5391722080136,1.49747165078159,16.1637254901961,0.96078431372549,0.999019607843137,1020
"UM-DeepOutbreak",1.26814744109621,18.0740875925059,1.69130205153138,20.0534497705342,0.893028846153846,1,832
"UMass-AR2",0.716697272494642,10.5117266909719,1.18549303323013,14.1224891552739,0.727884615384615,0.990384615384615,1040
"UMass-flusion",0.493977179358188,7.32530476814902,0.919426842713992,11.1322480936926,0.603846153846154,0.978846153846154,1040
"UMass-trends_ensemble",0.522647511524947,7.65483173076923,0.939627054711055,11.2480769230769,0.571153846153846,0.878846153846154,1040
"UNC_IDD-InfluPaint",0.982159180597687,13.2413181998083,1.43657971396066,15.7774037065996,0.0803921568627451,0.36078431372549,1020
"UVAFluX-CESGCN",0.878070439293728,13.3375158477072,1.23643280352291,15.1763475607794,0.116346153846154,0.264423076923077,1040
"UVAFluX-Ensemble",0.807035666274556,11.7521596989967,1.5310159966344,18.1846153846154,0.854807692307692,0.991346153846154,1040
"UVAFluX-OptimWISE",0.538095048272158,7.86305392976589,1.0151487466861,12.0855769230769,0.588461538461538,0.921153846153846,1040
"VTSanghani-PRIME",0.704268127922419,10.2326346153846,1.22198313340764,14.55,0.714423076923077,0.975,1040
"fjordhest-ensemble",0.655428942601954,9.46852061820652,1.23890651678284,14.6021875,0.68359375,0.978515625,1024
